#	Parameters	MSE_real	SNR_real	PRD_real	MSE_imag	SNR_imag	PRD_imag
	 25.0000000+-0.0000000	 0.0090000	 0.4300000	 7.0000000	 0.0090000	 inf+-nan	 -inf+-nan
	 26.0000000+-0.0000000	 0.0090000	 0.4300000	 7.0000000	 0.0090000	 inf+-nan	 -inf+-nan
	 27.0000000+-0.0000000	 0.0090000	 0.4300000	 7.0000000	 0.0090000	 inf+-nan	 -inf+-nan
	 28.0000000+-0.0000000	 0.0090000	 0.4300000	 7.0000000	 0.0090000	 inf+-nan	 -inf+-nan
	 29.0000000+-0.0000000	 0.0090000	 0.4300000	 7.0000000	 0.0090000	 inf+-nan	 -inf+-nan
	 30.0000000+-0.0000000	 0.0090000	 0.4300000	 7.0000000	 0.0090000	 inf+-nan	 -inf+-nan
	 31.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6100000	 4.0000000
	 32.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6100000	 4.0000000
	 33.0000000+-0.0000000	 0.0090000	 0.6100000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 34.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 35.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 36.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 37.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 38.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 39.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 40.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 41.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 42.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 43.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6100000	 4.0000000
	 44.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6100000	 4.0000000
	 45.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 46.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 47.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
	 48.0000000+-0.0000000	 0.0090000	 0.6000000	 4.0000000	 0.0090000	 0.6000000	 4.0000000
